Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28498,35656,64154,Lounglon,MMR006002
 Associate Scrutiny Card (blue),16,34,50,Lounglon,MMR006002
 Naturalised Scrutiny Card (green),68,54,122,Lounglon,MMR006002
 National Registration Card (3-fold),306,728,1034,Lounglon,MMR006002
 Religious card,502,22,524,Lounglon,MMR006002
 Temporary Registration Card (white),147,140,287,Lounglon,MMR006002
 Foreign Registration Card (FRC),2,3,5,Lounglon,MMR006002
 Foreign Passport,14,10,24,Lounglon,MMR006002
 None,12976,13625,26601,Lounglon,MMR006002
 Child under 10 years,13029,12487,25516,Lounglon,MMR006002
 Total,55558,62759,118317,Lounglon,MMR006002
