Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3747,2859,6606,Makman,MMR015024
 Associate Scrutiny Card (blue),2,3,5,Makman,MMR015024
 Naturalised Scrutiny Card (green),10,6,16,Makman,MMR015024
 National Registration Card (3-fold),13,9,22,Makman,MMR015024
 Religious card,32,1,33,Makman,MMR015024
 Temporary Registration Card (white),3,1,4,Makman,MMR015024
 Foreign Passport,-,4,4,Makman,MMR015024
 None,3251,3858,7109,Makman,MMR015024
 Child under 10 years,3010,2923,5933,Makman,MMR015024
 Total,10068,9664,19732,Makman,MMR015024
