Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7129,6215,13344,Manton,MMR015019
 Associate Scrutiny Card (blue),41,30,71,Manton,MMR015019
 Naturalised Scrutiny Card (green),102,74,176,Manton,MMR015019
 National Registration Card (3-fold),232,261,493,Manton,MMR015019
 Religious card,54,6,60,Manton,MMR015019
 Temporary Registration Card (white),27,27,54,Manton,MMR015019
 Foreign Registration Card (FRC),3,3,6,Manton,MMR015019
 Foreign Passport,6,5,11,Manton,MMR015019
 None,5831,8209,14040,Manton,MMR015019
 Child under 10 years,5137,5209,10346,Manton,MMR015019
 Total,18562,20039,38601,Manton,MMR015019
