Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10543,12267,22810,Matupi,MMR004007
 Associate Scrutiny Card (blue),5,5,10,Matupi,MMR004007
 Naturalised Scrutiny Card (green),9,12,21,Matupi,MMR004007
 National Registration Card (3-fold),17,34,51,Matupi,MMR004007
 Religious card,6,-,6,Matupi,MMR004007
 Temporary Registration Card (white),28,31,59,Matupi,MMR004007
 Foreign Registration Card (FRC),-,1,1,Matupi,MMR004007
 Foreign Passport,10,8,18,Matupi,MMR004007
 None,2858,2991,5849,Matupi,MMR004007
 Child under 10 years,5204,5057,10261,Matupi,MMR004007
 Total,18680,20406,39086,Matupi,MMR004007
