Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8886,8495,17381,Maukme`,MMR014020
 Associate Scrutiny Card (blue),4,5,9,Maukme`,MMR014020
 Naturalised Scrutiny Card (green),12,3,15,Maukme`,MMR014020
 National Registration Card (3-fold),18,4,22,Maukme`,MMR014020
 Religious card,161,2,163,Maukme`,MMR014020
 Temporary Registration Card (white),5,-,5,Maukme`,MMR014020
 Foreign Registration Card (FRC),1,-,1,Maukme`,MMR014020
 Foreign Passport,2,4,6,Maukme`,MMR014020
 None,3303,4594,7897,Maukme`,MMR014020
 Child under 10 years,4154,4157,8311,Maukme`,MMR014020
 Total,16546,17264,33810,Maukme`,MMR014020
