Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54419,60572,114991,Minbu,MMR009007
 Associate Scrutiny Card (blue),42,32,74,Minbu,MMR009007
 Naturalised Scrutiny Card (green),233,129,362,Minbu,MMR009007
 National Registration Card (3-fold),1254,2423,3677,Minbu,MMR009007
 Religious card,723,160,883,Minbu,MMR009007
 Temporary Registration Card (white),105,123,228,Minbu,MMR009007
 Foreign Registration Card (FRC),2,4,6,Minbu,MMR009007
 Foreign Passport,14,17,31,Minbu,MMR009007
 None,15603,20918,36521,Minbu,MMR009007
 Child under 10 years,15867,15542,31409,Minbu,MMR009007
 Total,88262,99920,188182,Minbu,MMR009007
