Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37390,35307,72697,Minbya,MMR012005
 Associate Scrutiny Card (blue),14,21,35,Minbya,MMR012005
 Naturalised Scrutiny Card (green),43,27,70,Minbya,MMR012005
 National Registration Card (3-fold),54,94,148,Minbya,MMR012005
 Religious card,665,21,686,Minbya,MMR012005
 Temporary Registration Card (white),153,192,345,Minbya,MMR012005
 Foreign Registration Card (FRC),-,1,1,Minbya,MMR012005
 Foreign Passport,9,26,35,Minbya,MMR012005
 None,22678,36901,59579,Minbya,MMR012005
 Child under 10 years,17869,17743,35612,Minbya,MMR012005
 Total,78875,90333,169208,Minbya,MMR012005
