Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10312,13302,23614,Mindat,MMR004006
 Associate Scrutiny Card (blue),-,2,2,Mindat,MMR004006
 Naturalised Scrutiny Card (green),14,13,27,Mindat,MMR004006
 National Registration Card (3-fold),93,100,193,Mindat,MMR004006
 Religious card,66,12,78,Mindat,MMR004006
 Temporary Registration Card (white),6,5,11,Mindat,MMR004006
 Foreign Registration Card (FRC),-,1,1,Mindat,MMR004006
 Foreign Passport,3,8,11,Mindat,MMR004006
 None,2717,3070,5787,Mindat,MMR004006
 Child under 10 years,6516,6360,12876,Mindat,MMR004006
 Total,19727,22873,42600,Mindat,MMR004006
