Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9357,8099,17456,Minekat,MMR016002
 Associate Scrutiny Card (blue),2,7,9,Minekat,MMR016002
 Naturalised Scrutiny Card (green),12,13,25,Minekat,MMR016002
 National Registration Card (3-fold),4,8,12,Minekat,MMR016002
 Religious card,64,2,66,Minekat,MMR016002
 Temporary Registration Card (white),41,38,79,Minekat,MMR016002
 Foreign Registration Card (FRC),81,81,162,Minekat,MMR016002
 Foreign Passport,6,4,10,Minekat,MMR016002
 None,8140,8038,16178,Minekat,MMR016002
 Child under 10 years,5166,5365,10531,Minekat,MMR016002
 Total,22873,21655,44528,Minekat,MMR016002
