Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6063,6277,12340,Minelon(ST),MMR015012
 Associate Scrutiny Card (blue),4,5,9,Minelon(ST),MMR015012
 Naturalised Scrutiny Card (green),31,14,45,Minelon(ST),MMR015012
 National Registration Card (3-fold),178,336,514,Minelon(ST),MMR015012
 Religious card,111,9,120,Minelon(ST),MMR015012
 Temporary Registration Card (white),11,21,32,Minelon(ST),MMR015012
 Foreign Registration Card (FRC),1,2,3,Minelon(ST),MMR015012
 Foreign Passport,15,1,16,Minelon(ST),MMR015012
 None,2998,3993,6991,Minelon(ST),MMR015012
 Child under 10 years,2860,2718,5578,Minelon(ST),MMR015012
 Total,12272,13376,25648,Minelon(ST),MMR015012
