Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9721,10430,20151,Mineshu,MMR014017
 Associate Scrutiny Card (blue),8,11,19,Mineshu,MMR014017
 Naturalised Scrutiny Card (green),49,41,90,Mineshu,MMR014017
 National Registration Card (3-fold),194,215,409,Mineshu,MMR014017
 Religious card,106,2,108,Mineshu,MMR014017
 Temporary Registration Card (white),35,35,70,Mineshu,MMR014017
 Foreign Registration Card (FRC),1,2,3,Mineshu,MMR014017
 Foreign Passport,9,2,11,Mineshu,MMR014017
 None,5787,7137,12924,Mineshu,MMR014017
 Child under 10 years,4453,4457,8910,Mineshu,MMR014017
 Total,20363,22332,42695,Mineshu,MMR014017
