Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11832,12580,24412,Momauk,MMR001012
 Associate Scrutiny Card (blue),47,20,67,Momauk,MMR001012
 Naturalised Scrutiny Card (green),50,32,82,Momauk,MMR001012
 National Registration Card (3-fold),167,340,507,Momauk,MMR001012
 Religious card,96,59,155,Momauk,MMR001012
 Temporary Registration Card (white),63,125,188,Momauk,MMR001012
 Foreign Registration Card (FRC),1,-,1,Momauk,MMR001012
 Foreign Passport,51,2,53,Momauk,MMR001012
 None,3645,3815,7460,Momauk,MMR001012
 Child under 10 years,4296,4341,8637,Momauk,MMR001012
 Total,20248,21314,41562,Momauk,MMR001012
