Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),361,390,751,Monehta(ST),MMR016008
 Associate Scrutiny Card (blue),-,2,2,Monehta(ST),MMR016008
 Naturalised Scrutiny Card (green),3,-,3,Monehta(ST),MMR016008
 National Registration Card (3-fold),1,-,1,Monehta(ST),MMR016008
 Religious card,4,2,6,Monehta(ST),MMR016008
 Temporary Registration Card (white),46,48,94,Monehta(ST),MMR016008
 Foreign Passport,-,1,1,Monehta(ST),MMR016008
 None,1494,748,2242,Monehta(ST),MMR016008
 Child under 10 years,591,585,1176,Monehta(ST),MMR016008
 Total,2500,1776,4276,Monehta(ST),MMR016008
