Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),105613,129340,234953,Monywa,MMR005012
 Associate Scrutiny Card (blue),61,81,142,Monywa,MMR005012
 Naturalised Scrutiny Card (green),297,201,498,Monywa,MMR005012
 National Registration Card (3-fold),1124,2066,3190,Monywa,MMR005012
 Religious card,3547,780,4327,Monywa,MMR005012
 Temporary Registration Card (white),111,109,220,Monywa,MMR005012
 Foreign Registration Card (FRC),9,9,18,Monywa,MMR005012
 Foreign Passport,56,38,94,Monywa,MMR005012
 None,33857,40779,74636,Monywa,MMR005012
 Child under 10 years,27276,26741,54017,Monywa,MMR005012
 Total,171951,200144,372095,Monywa,MMR005012
