Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),77707,78965,156672,Myaungmya,MMR017014
 Associate Scrutiny Card (blue),94,95,189,Myaungmya,MMR017014
 Naturalised Scrutiny Card (green),232,135,367,Myaungmya,MMR017014
 National Registration Card (3-fold),406,623,1029,Myaungmya,MMR017014
 Religious card,864,159,1023,Myaungmya,MMR017014
 Temporary Registration Card (white),102,89,191,Myaungmya,MMR017014
 Foreign Registration Card (FRC),42,51,93,Myaungmya,MMR017014
 Foreign Passport,25,24,49,Myaungmya,MMR017014
 None,36963,43526,80489,Myaungmya,MMR017014
 Child under 10 years,29537,28998,58535,Myaungmya,MMR017014
 Total,145972,152665,298637,Myaungmya,MMR017014
