Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),56153,61777,117930,Myitthar,MMR010015
 Associate Scrutiny Card (blue),15,19,34,Myitthar,MMR010015
 Naturalised Scrutiny Card (green),137,78,215,Myitthar,MMR010015
 National Registration Card (3-fold),224,301,525,Myitthar,MMR010015
 Religious card,618,23,641,Myitthar,MMR010015
 Temporary Registration Card (white),120,170,290,Myitthar,MMR010015
 Foreign Registration Card (FRC),5,5,10,Myitthar,MMR010015
 Foreign Passport,11,19,30,Myitthar,MMR010015
 None,18273,23713,41986,Myitthar,MMR010015
 Child under 10 years,17116,16852,33968,Myitthar,MMR010015
 Total,92672,102957,195629,Myitthar,MMR010015
