Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5630,5174,10804,Myothit(ST),MMR005030
 Associate Scrutiny Card (blue),6,4,10,Myothit(ST),MMR005030
 Naturalised Scrutiny Card (green),4,8,12,Myothit(ST),MMR005030
 National Registration Card (3-fold),32,24,56,Myothit(ST),MMR005030
 Religious card,19,1,20,Myothit(ST),MMR005030
 Temporary Registration Card (white),2,4,6,Myothit(ST),MMR005030
 Foreign Passport,-,1,1,Myothit(ST),MMR005030
 None,749,581,1330,Myothit(ST),MMR005030
 Child under 10 years,2318,2241,4559,Myothit(ST),MMR005030
 Total,8760,8038,16798,Myothit(ST),MMR005030
