Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44868,44480,89348,Naungkhio,MMR015013
 Associate Scrutiny Card (blue),37,34,71,Naungkhio,MMR015013
 Naturalised Scrutiny Card (green),325,126,451,Naungkhio,MMR015013
 National Registration Card (3-fold),1117,1239,2356,Naungkhio,MMR015013
 Religious card,389,42,431,Naungkhio,MMR015013
 Temporary Registration Card (white),207,177,384,Naungkhio,MMR015013
 Foreign Registration Card (FRC),56,25,81,Naungkhio,MMR015013
 Foreign Passport,90,7,97,Naungkhio,MMR015013
 None,14449,14298,28747,Naungkhio,MMR015013
 Child under 10 years,14223,13653,27876,Naungkhio,MMR015013
 Total,75761,74081,149842,Naungkhio,MMR015013
