Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22598,22634,45232,Naungtayar(ST),MMR014009
 Associate Scrutiny Card (blue),14,13,27,Naungtayar(ST),MMR014009
 Naturalised Scrutiny Card (green),72,16,88,Naungtayar(ST),MMR014009
 National Registration Card (3-fold),211,230,441,Naungtayar(ST),MMR014009
 Religious card,273,2,275,Naungtayar(ST),MMR014009
 Temporary Registration Card (white),30,26,56,Naungtayar(ST),MMR014009
 Foreign Passport,10,4,14,Naungtayar(ST),MMR014009
 None,6695,8281,14976,Naungtayar(ST),MMR014009
 Child under 10 years,8044,8057,16101,Naungtayar(ST),MMR014009
 Total,37947,39263,77210,Naungtayar(ST),MMR014009
