Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),51038,57272,108310,Nyaunglebin,MMR007005
 Associate Scrutiny Card (blue),46,52,98,Nyaunglebin,MMR007005
 Naturalised Scrutiny Card (green),207,200,407,Nyaunglebin,MMR007005
 National Registration Card (3-fold),269,414,683,Nyaunglebin,MMR007005
 Religious card,794,75,869,Nyaunglebin,MMR007005
 Temporary Registration Card (white),89,94,183,Nyaunglebin,MMR007005
 Foreign Registration Card (FRC),18,11,29,Nyaunglebin,MMR007005
 Foreign Passport,23,16,39,Nyaunglebin,MMR007005
 None,22281,27924,50205,Nyaunglebin,MMR007005
 Child under 10 years,19699,18961,38660,Nyaunglebin,MMR007005
 Total,94464,105019,199483,Nyaunglebin,MMR007005
