Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25080,23400,48480,Ottarathiri,MMR018008
 Associate Scrutiny Card (blue),8,10,18,Ottarathiri,MMR018008
 Naturalised Scrutiny Card (green),79,41,120,Ottarathiri,MMR018008
 National Registration Card (3-fold),305,366,671,Ottarathiri,MMR018008
 Religious card,149,10,159,Ottarathiri,MMR018008
 Temporary Registration Card (white),171,200,371,Ottarathiri,MMR018008
 Foreign Registration Card (FRC),2,1,3,Ottarathiri,MMR018008
 Foreign Passport,11,5,16,Ottarathiri,MMR018008
 None,7069,8100,15169,Ottarathiri,MMR018008
 Child under 10 years,8435,8178,16613,Ottarathiri,MMR018008
 Total,41309,40311,81620,Ottarathiri,MMR018008
