Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10456,13131,23587,Pabedan,MMR013034
 Associate Scrutiny Card (blue),326,337,663,Pabedan,MMR013034
 Naturalised Scrutiny Card (green),413,414,827,Pabedan,MMR013034
 National Registration Card (3-fold),360,511,871,Pabedan,MMR013034
 Religious card,65,-,65,Pabedan,MMR013034
 Temporary Registration Card (white),73,87,160,Pabedan,MMR013034
 Foreign Registration Card (FRC),112,151,263,Pabedan,MMR013034
 Foreign Passport,160,143,303,Pabedan,MMR013034
 None,1436,1573,3009,Pabedan,MMR013034
 Child under 10 years,1770,1818,3588,Pabedan,MMR013034
 Total,15171,18165,33336,Pabedan,MMR013034
