Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),24064,27771,51835,Palaw,MMR006007
 Associate Scrutiny Card (blue),7,11,18,Palaw,MMR006007
 Naturalised Scrutiny Card (green),80,33,113,Palaw,MMR006007
 National Registration Card (3-fold),231,416,647,Palaw,MMR006007
 Religious card,277,25,302,Palaw,MMR006007
 Temporary Registration Card (white),61,64,125,Palaw,MMR006007
 Foreign Registration Card (FRC),2,4,6,Palaw,MMR006007
 Foreign Passport,6,3,9,Palaw,MMR006007
 None,9594,9067,18661,Palaw,MMR006007
 Child under 10 years,11044,10678,21722,Palaw,MMR006007
 Total,45366,48072,93438,Palaw,MMR006007
