Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1357,1190,2547,Panlon(ST),MMR015021
 Associate Scrutiny Card (blue),2,2,4,Panlon(ST),MMR015021
 Naturalised Scrutiny Card (green),9,2,11,Panlon(ST),MMR015021
 National Registration Card (3-fold),62,66,128,Panlon(ST),MMR015021
 Religious card,13,5,18,Panlon(ST),MMR015021
 Temporary Registration Card (white),54,63,117,Panlon(ST),MMR015021
 Foreign Registration Card (FRC),1,-,1,Panlon(ST),MMR015021
 Foreign Passport,1,-,1,Panlon(ST),MMR015021
 None,892,900,1792,Panlon(ST),MMR015021
 Child under 10 years,809,778,1587,Panlon(ST),MMR015021
 Total,3200,3006,6206,Panlon(ST),MMR015021
