Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),47563,56072,103635,Pauk,MMR009021
 Associate Scrutiny Card (blue),6,9,15,Pauk,MMR009021
 Naturalised Scrutiny Card (green),45,26,71,Pauk,MMR009021
 National Registration Card (3-fold),77,99,176,Pauk,MMR009021
 Religious card,495,24,519,Pauk,MMR009021
 Temporary Registration Card (white),111,107,218,Pauk,MMR009021
 Foreign Registration Card (FRC),-,4,4,Pauk,MMR009021
 Foreign Passport,23,11,34,Pauk,MMR009021
 None,12771,18047,30818,Pauk,MMR009021
 Child under 10 years,17939,18085,36024,Pauk,MMR009021
 Total,79030,92484,171514,Pauk,MMR009021
