Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29312,33974,63286,Phaungpyin,MMR005032
 Associate Scrutiny Card (blue),11,13,24,Phaungpyin,MMR005032
 Naturalised Scrutiny Card (green),23,17,40,Phaungpyin,MMR005032
 National Registration Card (3-fold),106,150,256,Phaungpyin,MMR005032
 Religious card,386,43,429,Phaungpyin,MMR005032
 Temporary Registration Card (white),178,168,346,Phaungpyin,MMR005032
 Foreign Passport,7,16,23,Phaungpyin,MMR005032
 None,10070,10951,21021,Phaungpyin,MMR005032
 Child under 10 years,13776,13493,27269,Phaungpyin,MMR005032
 Total,53869,58825,112694,Phaungpyin,MMR005032
