Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4471,3807,8278,Pyigyimandaing,MMR006010
 Associate Scrutiny Card (blue),1,1,2,Pyigyimandaing,MMR006010
 Naturalised Scrutiny Card (green),17,7,24,Pyigyimandaing,MMR006010
 National Registration Card (3-fold),78,96,174,Pyigyimandaing,MMR006010
 Religious card,31,1,32,Pyigyimandaing,MMR006010
 Temporary Registration Card (white),13,15,28,Pyigyimandaing,MMR006010
 Foreign Registration Card (FRC),1,1,2,Pyigyimandaing,MMR006010
 Foreign Passport,13,1,14,Pyigyimandaing,MMR006010
 None,2035,1767,3802,Pyigyimandaing,MMR006010
 Child under 10 years,2138,2110,4248,Pyigyimandaing,MMR006010
 Total,8798,7806,16604,Pyigyimandaing,MMR006010
