Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),59408,66859,126267,Pyu,MMR007012
 Associate Scrutiny Card (blue),118,124,242,Pyu,MMR007012
 Naturalised Scrutiny Card (green),4002,4662,8664,Pyu,MMR007012
 National Registration Card (3-fold),1142,1380,2522,Pyu,MMR007012
 Religious card,832,33,865,Pyu,MMR007012
 Temporary Registration Card (white),709,872,1581,Pyu,MMR007012
 Foreign Registration Card (FRC),16,12,28,Pyu,MMR007012
 Foreign Passport,46,35,81,Pyu,MMR007012
 None,28188,36050,64238,Pyu,MMR007012
 Child under 10 years,26662,26123,52785,Pyu,MMR007012
 Total,121123,136150,257273,Pyu,MMR007012
