Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),62543,69151,131694,Salin,MMR009010
 Associate Scrutiny Card (blue),25,39,64,Salin,MMR009010
 Naturalised Scrutiny Card (green),245,167,412,Salin,MMR009010
 National Registration Card (3-fold),1564,3126,4690,Salin,MMR009010
 Religious card,879,99,978,Salin,MMR009010
 Temporary Registration Card (white),152,180,332,Salin,MMR009010
 Foreign Registration Card (FRC),10,3,13,Salin,MMR009010
 Foreign Passport,33,25,58,Salin,MMR009010
 None,22620,34312,56932,Salin,MMR009010
 Child under 10 years,20654,20206,40860,Salin,MMR009010
 Total,108725,127308,236033,Salin,MMR009010
