Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6864,6064,12928,Sami(ST),MMR004009
 Associate Scrutiny Card (blue),6,8,14,Sami(ST),MMR004009
 Naturalised Scrutiny Card (green),19,23,42,Sami(ST),MMR004009
 National Registration Card (3-fold),19,56,75,Sami(ST),MMR004009
 Religious card,19,5,24,Sami(ST),MMR004009
 Temporary Registration Card (white),27,100,127,Sami(ST),MMR004009
 Foreign Passport,7,3,10,Sami(ST),MMR004009
 None,3779,5432,9211,Sami(ST),MMR004009
 Child under 10 years,4926,4725,9651,Sami(ST),MMR004009
 Total,15666,16416,32082,Sami(ST),MMR004009
