Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3800,3001,6801,Shinbwayyan(ST),MMR001004
 Naturalised Scrutiny Card (green),6,1,7,Shinbwayyan(ST),MMR001004
 National Registration Card (3-fold),75,49,124,Shinbwayyan(ST),MMR001004
 Religious card,16,3,19,Shinbwayyan(ST),MMR001004
 Temporary Registration Card (white),29,20,49,Shinbwayyan(ST),MMR001004
 Foreign Registration Card (FRC),-,2,2,Shinbwayyan(ST),MMR001004
 Foreign Passport,1,-,1,Shinbwayyan(ST),MMR001004
 None,895,807,1702,Shinbwayyan(ST),MMR001004
 Child under 10 years,1384,1364,2748,Shinbwayyan(ST),MMR001004
 Total,6206,5247,11453,Shinbwayyan(ST),MMR001004
