Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44272,50020,94292,Singaing,MMR010014
 Associate Scrutiny Card (blue),17,25,42,Singaing,MMR010014
 Naturalised Scrutiny Card (green),201,107,308,Singaing,MMR010014
 National Registration Card (3-fold),464,586,1050,Singaing,MMR010014
 Religious card,666,89,755,Singaing,MMR010014
 Temporary Registration Card (white),157,116,273,Singaing,MMR010014
 Foreign Registration Card (FRC),1,1,2,Singaing,MMR010014
 Foreign Passport,76,32,108,Singaing,MMR010014
 None,12742,14626,27368,Singaing,MMR010014
 Child under 10 years,12565,12155,24720,Singaing,MMR010014
 Total,71161,77757,148918,Singaing,MMR010014
