Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63538,68063,131601,Taikkyi,MMR013005
 Associate Scrutiny Card (blue),167,169,336,Taikkyi,MMR013005
 Naturalised Scrutiny Card (green),655,354,1009,Taikkyi,MMR013005
 National Registration Card (3-fold),4956,6660,11616,Taikkyi,MMR013005
 Religious card,970,184,1154,Taikkyi,MMR013005
 Temporary Registration Card (white),593,703,1296,Taikkyi,MMR013005
 Foreign Registration Card (FRC),116,124,240,Taikkyi,MMR013005
 Foreign Passport,39,28,67,Taikkyi,MMR013005
 None,37848,41310,79158,Taikkyi,MMR013005
 Child under 10 years,25832,24959,50791,Taikkyi,MMR013005
 Total,134714,142554,277268,Taikkyi,MMR013005
