Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9076,8419,17495,Tamoenye(ST),MMR015011
 Associate Scrutiny Card (blue),11,13,24,Tamoenye(ST),MMR015011
 Naturalised Scrutiny Card (green),283,122,405,Tamoenye(ST),MMR015011
 National Registration Card (3-fold),4135,3228,7363,Tamoenye(ST),MMR015011
 Religious card,46,7,53,Tamoenye(ST),MMR015011
 Temporary Registration Card (white),380,330,710,Tamoenye(ST),MMR015011
 Foreign Registration Card (FRC),-,1,1,Tamoenye(ST),MMR015011
 Foreign Passport,5,9,14,Tamoenye(ST),MMR015011
 None,14353,15086,29439,Tamoenye(ST),MMR015011
 Child under 10 years,8906,8908,17814,Tamoenye(ST),MMR015011
 Total,37195,36123,73318,Tamoenye(ST),MMR015011
