Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),116720,130755,247475,Taunggyi,MMR014001
 Associate Scrutiny Card (blue),555,568,1123,Taunggyi,MMR014001
 Naturalised Scrutiny Card (green),737,596,1333,Taunggyi,MMR014001
 National Registration Card (3-fold),1367,1951,3318,Taunggyi,MMR014001
 Religious card,2584,193,2777,Taunggyi,MMR014001
 Temporary Registration Card (white),250,288,538,Taunggyi,MMR014001
 Foreign Registration Card (FRC),53,54,107,Taunggyi,MMR014001
 Foreign Passport,94,42,136,Taunggyi,MMR014001
 None,30874,29178,60052,Taunggyi,MMR014001
 Child under 10 years,32720,32060,64780,Taunggyi,MMR014001
 Total,185954,195685,381639,Taunggyi,MMR014001
