Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9821,9305,19126,Thandaunggyi,MMR003004
 Associate Scrutiny Card (blue),7,12,19,Thandaunggyi,MMR003004
 Naturalised Scrutiny Card (green),31,29,60,Thandaunggyi,MMR003004
 National Registration Card (3-fold),58,79,137,Thandaunggyi,MMR003004
 Religious card,16,3,19,Thandaunggyi,MMR003004
 Temporary Registration Card (white),33,69,102,Thandaunggyi,MMR003004
 Foreign Passport,-,2,2,Thandaunggyi,MMR003004
 None,1834,1935,3769,Thandaunggyi,MMR003004
 Child under 10 years,3497,3478,6975,Thandaunggyi,MMR003004
 Total,15297,14912,30209,Thandaunggyi,MMR003004
