Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),71104,74991,146095,Thanlyin,MMR013023
 Associate Scrutiny Card (blue),100,114,214,Thanlyin,MMR013023
 Naturalised Scrutiny Card (green),2748,2682,5430,Thanlyin,MMR013023
 National Registration Card (3-fold),2716,3602,6318,Thanlyin,MMR013023
 Religious card,1297,633,1930,Thanlyin,MMR013023
 Temporary Registration Card (white),582,722,1304,Thanlyin,MMR013023
 Foreign Registration Card (FRC),22,25,47,Thanlyin,MMR013023
 Foreign Passport,59,42,101,Thanlyin,MMR013023
 None,29845,32885,62730,Thanlyin,MMR013023
 Child under 10 years,22064,21830,43894,Thanlyin,MMR013023
 Total,130537,137526,268063,Thanlyin,MMR013023
