Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54159,57919,112078,Thaton,MMR011007
 Associate Scrutiny Card (blue),37,46,83,Thaton,MMR011007
 Naturalised Scrutiny Card (green),521,280,801,Thaton,MMR011007
 National Registration Card (3-fold),1783,2646,4429,Thaton,MMR011007
 Religious card,1747,262,2009,Thaton,MMR011007
 Temporary Registration Card (white),432,190,622,Thaton,MMR011007
 Foreign Registration Card (FRC),5,6,11,Thaton,MMR011007
 Foreign Passport,59,38,97,Thaton,MMR011007
 None,32187,35613,67800,Thaton,MMR011007
 Child under 10 years,25464,24712,50176,Thaton,MMR011007
 Total,116394,121712,238106,Thaton,MMR011007
