Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4794,5145,9939,Tonzaung,MMR004005
 Associate Scrutiny Card (blue),2,1,3,Tonzaung,MMR004005
 Naturalised Scrutiny Card (green),4,7,11,Tonzaung,MMR004005
 National Registration Card (3-fold),10,17,27,Tonzaung,MMR004005
 Religious card,6,-,6,Tonzaung,MMR004005
 Temporary Registration Card (white),9,16,25,Tonzaung,MMR004005
 Foreign Passport,5,3,8,Tonzaung,MMR004005
 None,1978,2243,4221,Tonzaung,MMR004005
 Child under 10 years,3299,3183,6482,Tonzaung,MMR004005
 Total,10107,10615,20722,Tonzaung,MMR004005
