Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54258,60975,115233,Wetlet,MMR005006
 Associate Scrutiny Card (blue),22,22,44,Wetlet,MMR005006
 Naturalised Scrutiny Card (green),255,124,379,Wetlet,MMR005006
 National Registration Card (3-fold),678,1297,1975,Wetlet,MMR005006
 Religious card,946,22,968,Wetlet,MMR005006
 Temporary Registration Card (white),120,114,234,Wetlet,MMR005006
 Foreign Registration Card (FRC),14,16,30,Wetlet,MMR005006
 Foreign Passport,12,24,36,Wetlet,MMR005006
 None,18414,28519,46933,Wetlet,MMR005006
 Child under 10 years,15370,15014,30384,Wetlet,MMR005006
 Total,90089,106127,196216,Wetlet,MMR005006
