Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21793,24824,46617,Wuntho,MMR005025
 Associate Scrutiny Card (blue),14,13,27,Wuntho,MMR005025
 Naturalised Scrutiny Card (green),13,5,18,Wuntho,MMR005025
 National Registration Card (3-fold),28,36,64,Wuntho,MMR005025
 Religious card,489,79,568,Wuntho,MMR005025
 Temporary Registration Card (white),78,50,128,Wuntho,MMR005025
 Foreign Registration Card (FRC),1,2,3,Wuntho,MMR005025
 Foreign Passport,8,4,12,Wuntho,MMR005025
 None,5716,5626,11342,Wuntho,MMR005025
 Child under 10 years,7325,7291,14616,Wuntho,MMR005025
 Total,35465,37930,73395,Wuntho,MMR005025
