Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22782,28054,50836,Yethedaung,MMR012008
 Associate Scrutiny Card (blue),14,22,36,Yethedaung,MMR012008
 Naturalised Scrutiny Card (green),51,37,88,Yethedaung,MMR012008
 National Registration Card (3-fold),147,190,337,Yethedaung,MMR012008
 Religious card,341,22,363,Yethedaung,MMR012008
 Temporary Registration Card (white),114,162,276,Yethedaung,MMR012008
 Foreign Registration Card (FRC),-,2,2,Yethedaung,MMR012008
 Foreign Passport,15,21,36,Yethedaung,MMR012008
 None,14676,21932,36608,Yethedaung,MMR012008
 Child under 10 years,11886,11506,23392,Yethedaung,MMR012008
 Total,50026,61948,111974,Yethedaung,MMR012008
