Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),45886,49287,95173,Zalun,MMR017009
 Associate Scrutiny Card (blue),27,18,45,Zalun,MMR017009
 Naturalised Scrutiny Card (green),109,56,165,Zalun,MMR017009
 National Registration Card (3-fold),663,1226,1889,Zalun,MMR017009
 Religious card,441,31,472,Zalun,MMR017009
 Temporary Registration Card (white),44,31,75,Zalun,MMR017009
 Foreign Registration Card (FRC),1,1,2,Zalun,MMR017009
 Foreign Passport,8,13,21,Zalun,MMR017009
 None,16862,22643,39505,Zalun,MMR017009
 Child under 10 years,15612,15244,30856,Zalun,MMR017009
 Total,79653,88550,168203,Zalun,MMR017009
