Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,110647,121936,232583,Myitkyina,MMR001001
 Illiterate,5565,10252,15817,Myitkyina,MMR001001
 Total,116212,132188,248400,Myitkyina,MMR001001
 Literate,37429,37275,74704,Waingmaw,MMR001002
 Illiterate,5601,8520,14121,Waingmaw,MMR001002
 Total,43030,45795,88825,Waingmaw,MMR001002
 Literate,507,483,990,Ingyanyan,MMR001003
 Illiterate,104,139,243,Ingyanyan,MMR001003
 Total,611,622,1233,Ingyanyan,MMR001003
 Literate,15258,13684,28942,Tanaing,MMR001004
 Illiterate,1550,2566,4116,Tanaing,MMR001004
 Total,16808,16250,33058,Tanaing,MMR001004
 Literate,3185,2720,5905,Chiphwe,MMR001005
 Illiterate,1512,1910,3422,Chiphwe,MMR001005
 Total,4697,4630,9327,Chiphwe,MMR001005
 Literate,2156,1864,4020,Hsotlaw,MMR001006
 Illiterate,686,833,1519,Hsotlaw,MMR001006
 Total,2842,2697,5539,Hsotlaw,MMR001006
 Literate,4125,3882,8007,Hsinbo(ST),MMR001001
 Illiterate,238,371,609,Hsinbo(ST),MMR001001
 Total,4363,4253,8616,Hsinbo(ST),MMR001001
 Literate,3650,3627,7277,Hsadone(ST),MMR001002
 Illiterate,838,1034,1872,Hsadone(ST),MMR001002
 Total,4488,4661,9149,Hsadone(ST),MMR001002
 Literate,2757,2418,5175,Kanpaikti(ST),MMR001002
 Illiterate,971,1179,2150,Kanpaikti(ST),MMR001002
 Total,3728,3597,7325,Kanpaikti(ST),MMR001002
 Literate,4713,3500,8213,Shinbwayyan(ST),MMR001004
 Illiterate,661,989,1650,Shinbwayyan(ST),MMR001004
 Total,5374,4489,9863,Shinbwayyan(ST),MMR001004
 Literate,2279,1800,4079,Panwa(ST),MMR001005
 Illiterate,1282,1803,3085,Panwa(ST),MMR001005
 Total,3561,3603,7164,Panwa(ST),MMR001005
 Literate,59831,67203,127034,Mohnyin,MMR001007
 Illiterate,2334,4660,6994,Mohnyin,MMR001007
 Total,62165,71863,134028,Mohnyin,MMR001007
 Literate,49668,56475,106143,Mogaung,MMR001008
 Illiterate,2869,5003,7872,Mogaung,MMR001008
 Total,52537,61478,114015,Mogaung,MMR001008
 Literate,69007,57603,126610,Phakant,MMR001009
 Illiterate,3899,4981,8880,Phakant,MMR001009
 Total,72906,62584,135490,Phakant,MMR001009
 Literate,18611,22295,40906,Hopin(ST),MMR001007
 Illiterate,673,1219,1892,Hopin(ST),MMR001007
 Total,19284,23514,42798,Hopin(ST),MMR001007
 Literate,6774,7007,13781,Kamine(ST),MMR001009
 Illiterate,596,858,1454,Kamine(ST),MMR001009
 Total,7370,7865,15235,Kamine(ST),MMR001009
 Literate,48134,52534,100668,Bhamo,MMR001010
 Illiterate,2271,4047,6318,Bhamo,MMR001010
 Total,50405,56581,106986,Bhamo,MMR001010
 Literate,33520,36075,69595,Shwegu,MMR001011
 Illiterate,1082,1630,2712,Shwegu,MMR001011
 Total,34602,37705,72307,Shwegu,MMR001011
 Literate,15367,16118,31485,Momauk,MMR001012
 Illiterate,1755,3010,4765,Momauk,MMR001012
 Total,17122,19128,36250,Momauk,MMR001012
 Literate,20597,20783,41380,Mansi,MMR001013
 Illiterate,2027,2953,4980,Mansi,MMR001013
 Total,22624,23736,46360,Mansi,MMR001013
 Literate,1708,1597,3305,Myohla(ST),MMR001011
 Illiterate,91,112,203,Myohla(ST),MMR001011
 Total,1799,1709,3508,Myohla(ST),MMR001011
 Literate,2696,2849,5545,Lwe`ge`(ST),MMR001012
 Illiterate,703,836,1539,Lwe`ge`(ST),MMR001012
 Total,3399,3685,7084,Lwe`ge`(ST),MMR001012
 Literate,4040,3650,7690,Dotphoneyan(ST),MMR001012
 Illiterate,738,1191,1929,Dotphoneyan(ST),MMR001012
 Total,4778,4841,9619,Dotphoneyan(ST),MMR001012
 Literate,22312,22381,44693,Putao,MMR001014
 Illiterate,2151,3802,5953,Putao,MMR001014
 Total,24463,26183,50646,Putao,MMR001014
 Literate,877,814,1691,Sumprabum,MMR001015
 Illiterate,155,255,410,Sumprabum,MMR001015
 Total,1032,1069,2101,Sumprabum,MMR001015
 Literate,3137,3137,6274,Machanbaw,MMR001016
 Illiterate,335,507,842,Machanbaw,MMR001016
 Total,3472,3644,7116,Machanbaw,MMR001016
 Literate,4665,4458,9123,Khaunglanphoo,MMR001018
 Illiterate,817,937,1754,Khaunglanphoo,MMR001018
 Total,5482,5395,10877,Khaunglanphoo,MMR001018
 Literate,2090,2003,4093,Naungmoon,MMR001017
 Illiterate,167,276,443,Naungmoon,MMR001017
 Total,2257,2279,4536,Naungmoon,MMR001017
 Literate,661,507,1168,Pannandin(ST),MMR001017
 Illiterate,105,185,290,Pannandin(ST),MMR001017
 Total,766,692,1458,Pannandin(ST),MMR001017
 Literate,46726,47876,94602,Loikaw,MMR002001
 Illiterate,5075,9398,14473,Loikaw,MMR002001
 Total,51801,57274,109075,Loikaw,MMR002001
 Literate,28303,27353,55656,Dimawso,MMR002002
 Illiterate,4397,7631,12028,Dimawso,MMR002002
 Total,32700,34984,67684,Dimawso,MMR002002
 Literate,9039,8732,17771,Phruso,MMR002003
 Illiterate,2492,3926,6418,Phruso,MMR002003
 Total,11531,12658,24189,Phruso,MMR002003
 Literate,1641,1494,3135,Shardaw,MMR002004
 Illiterate,1143,1436,2579,Shardaw,MMR002004
 Total,2784,2930,5714,Shardaw,MMR002004
 Literate,2799,2725,5524,Bawlakhe,MMR002005
 Illiterate,266,456,722,Bawlakhe,MMR002005
 Total,3065,3181,6246,Bawlakhe,MMR002005
 Literate,8857,8603,17460,Parsaung,MMR002006
 Illiterate,1167,1182,2349,Parsaung,MMR002006
 Total,10024,9785,19809,Parsaung,MMR002006
 Literate,2281,2149,4430,Meisi,MMR002007
 Illiterate,215,250,465,Meisi,MMR002007
 Total,2496,2399,4895,Meisi,MMR002007
 Literate,836,701,1537,Ywathit(ST),MMR002005
 Illiterate,124,209,333,Ywathit(ST),MMR002005
 Total,960,910,1870,Ywathit(ST),MMR002005
 Literate,142100,150610,292710,Hpa-an,MMR003001
 Illiterate,26143,40695,66838,Hpa-an,MMR003001
 Total,168243,191305,359548,Hpa-an,MMR003001
 Literate,44789,47007,91796,Hlaingbwe,MMR003002
 Illiterate,17923,22715,40638,Hlaingbwe,MMR003002
 Total,62712,69722,132434,Hlaingbwe,MMR003002
