Urban_Rural,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Urban,116083,126948,243031,Myitkyina,MMR001001
 Rural,32402,31516,63918,Myitkyina,MMR001001
 Total,148485,158464,306949,Myitkyina,MMR001001
 Urban,10827,11142,21969,Waingmaw,MMR001002
 Rural,41871,42526,84397,Waingmaw,MMR001002
 Total,52698,53668,106366,Waingmaw,MMR001002
 Urban,244,201,445,Ingyanyan,MMR001003
 Rural,702,585,1287,Ingyanyan,MMR001003
 Total,946,786,1732,Ingyanyan,MMR001003
 Urban,17007,14991,31998,Tanaing,MMR001004
 Rural,8766,7802,16568,Tanaing,MMR001004
 Total,25773,22793,48566,Tanaing,MMR001004
 Urban,768,799,1567,Chiphwe,MMR001005
 Rural,5063,4673,9736,Chiphwe,MMR001005
 Total,5831,5472,11303,Chiphwe,MMR001005
 Urban,193,175,368,Hsotlaw,MMR001006
 Rural,3158,2992,6150,Hsotlaw,MMR001006
 Total,3351,3167,6518,Hsotlaw,MMR001006
 Urban,1828,1647,3475,Hsinbo(ST),MMR001001
 Rural,3734,3446,7180,Hsinbo(ST),MMR001001
 Total,5562,5093,10655,Hsinbo(ST),MMR001001
 Urban,1789,1745,3534,Hsadone(ST),MMR001002
 Rural,3450,3512,6962,Hsadone(ST),MMR001002
 Total,5239,5257,10496,Hsadone(ST),MMR001002
 Urban,608,545,1153,Kanpaikti(ST),MMR001002
 Rural,3920,3609,7529,Kanpaikti(ST),MMR001002
 Total,4528,4154,8682,Kanpaikti(ST),MMR001002
 Urban,3073,2344,5417,Shinbwayyan(ST),MMR001004
 Rural,3133,2903,6036,Shinbwayyan(ST),MMR001004
 Total,6206,5247,11453,Shinbwayyan(ST),MMR001004
 Urban,623,600,1223,Panwa(ST),MMR001005
 Rural,3846,3667,7513,Panwa(ST),MMR001005
 Total,4469,4267,8736,Panwa(ST),MMR001005
 Urban,15910,17380,33290,Mohnyin,MMR001007
 Rural,62885,64423,127308,Mohnyin,MMR001007
 Total,78795,81803,160598,Mohnyin,MMR001007
 Urban,11604,13408,25012,Mogaung,MMR001008
 Rural,51897,55699,107596,Mogaung,MMR001008
 Total,63501,69107,132608,Mogaung,MMR001008
 Urban,39992,20131,60123,Phakant,MMR001009
 Rural,161041,91114,252155,Phakant,MMR001009
 Total,201033,111245,312278,Phakant,MMR001009
 Urban,10742,12610,23352,Hopin(ST),MMR001007
 Rural,12061,13281,25342,Hopin(ST),MMR001007
 Total,22803,25891,48694,Hopin(ST),MMR001007
 Urban,2826,2908,5734,Kamine(ST),MMR001009
 Rural,6864,6832,13696,Kamine(ST),MMR001009
 Total,9690,9740,19430,Kamine(ST),MMR001009
 Urban,28492,30204,58696,Bhamo,MMR001010
 Rural,38226,38955,77181,Bhamo,MMR001010
 Total,66718,69159,135877,Bhamo,MMR001010
 Urban,9028,9866,18894,Shwegu,MMR001011
 Rural,36034,35763,71797,Shwegu,MMR001011
 Total,45062,45629,90691,Shwegu,MMR001011
 Urban,5039,5702,10741,Momauk,MMR001012
 Rural,15209,15612,30821,Momauk,MMR001012
 Total,20248,21314,41562,Momauk,MMR001012
 Urban,4087,4059,8146,Mansi,MMR001013
 Rural,22069,22730,44799,Mansi,MMR001013
 Total,26156,26789,52945,Mansi,MMR001013
 Urban,951,877,1828,Myohla(ST),MMR001011
 Rural,1161,1104,2265,Myohla(ST),MMR001011
 Total,2112,1981,4093,Myohla(ST),MMR001011
 Urban,4112,4263,8375,Lwe`ge`(ST),MMR001012
 Rural,853,811,1664,Lwe`ge`(ST),MMR001012
 Total,4965,5074,10039,Lwe`ge`(ST),MMR001012
 Urban,981,900,1881,Dotphoneyan(ST),MMR001012
 Rural,4835,4597,9432,Dotphoneyan(ST),MMR001012
 Total,5816,5497,11313,Dotphoneyan(ST),MMR001012
 Urban,7706,8272,15978,Putao,MMR001014
 Rural,22456,22641,45097,Putao,MMR001014
 Total,30162,30913,61075,Putao,MMR001014
 Urban,606,531,1137,Sumprabum,MMR001015
 Rural,685,724,1409,Sumprabum,MMR001015
 Total,1291,1255,2546,Sumprabum,MMR001015
 Urban,1181,1134,2315,Machanbaw,MMR001016
 Rural,3274,3269,6543,Machanbaw,MMR001016
 Total,4455,4403,8858,Machanbaw,MMR001016
 Urban,237,213,450,Khaunglanphoo,MMR001018
 Rural,5618,5587,11205,Khaunglanphoo,MMR001018
 Total,5855,5800,11655,Khaunglanphoo,MMR001018
 Urban,1039,1072,2111,Naungmoon,MMR001017
 Rural,1650,1604,3254,Naungmoon,MMR001017
 Total,2689,2676,5365,Naungmoon,MMR001017
 Urban,67,58,125,Pannandin(ST),MMR001017
 Rural,847,786,1633,Pannandin(ST),MMR001017
 Total,914,844,1758,Pannandin(ST),MMR001017
 Urban,24732,26617,51349,Loikaw,MMR002001
 Rural,38377,38675,77052,Loikaw,MMR002001
 Total,63109,65292,128401,Loikaw,MMR002001
 Urban,2716,2905,5621,Dimawso,MMR002002
 Rural,36220,37360,73580,Dimawso,MMR002002
 Total,38936,40265,79201,Dimawso,MMR002002
 Urban,2144,2096,4240,Phruso,MMR002003
 Rural,12293,12841,25134,Phruso,MMR002003
 Total,14437,14937,29374,Phruso,MMR002003
