Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,637,27075,27712,Ayartaw,MMR005014
 Grade 1,248,4031,4279,Ayartaw,MMR005014
 Grade 2,608,6170,6778,Ayartaw,MMR005014
 Grade 3,634,10717,11351,Ayartaw,MMR005014
 Grade 4,780,12776,13556,Ayartaw,MMR005014
 Grade 5,1531,36690,38221,Ayartaw,MMR005014
 Grade 6,495,7732,8227,Ayartaw,MMR005014
 Grade 7,416,6163,6579,Ayartaw,MMR005014
 Grade 8,430,5615,6045,Ayartaw,MMR005014
 Grade 9,420,5052,5472,Ayartaw,MMR005014
 Grade 10,677,3939,4616,Ayartaw,MMR005014
 Grade 11,413,3641,4054,Ayartaw,MMR005014
 College,268,1411,1679,Ayartaw,MMR005014
 Vocational training,19,70,89,Ayartaw,MMR005014
 Undergraduate diploma,20,180,200,Ayartaw,MMR005014
 Graduate,1042,2807,3849,Ayartaw,MMR005014
 Postgraduate diploma,15,67,82,Ayartaw,MMR005014
 Master degree,15,63,78,Ayartaw,MMR005014
 PhD,2,4,6,Ayartaw,MMR005014
 Other,64,747,811,Ayartaw,MMR005014
 Total,8734,134950,143684,Ayartaw,MMR005014
