Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,919,23748,24667,Bilin,MMR011010
 Grade 1,520,7988,8508,Bilin,MMR011010
 Grade 2,683,11224,11907,Bilin,MMR011010
 Grade 3,1130,16229,17359,Bilin,MMR011010
 Grade 4,1418,17219,18637,Bilin,MMR011010
 Grade 5,2629,25846,28475,Bilin,MMR011010
 Grade 6,1151,8446,9597,Bilin,MMR011010
 Grade 7,939,6366,7305,Bilin,MMR011010
 Grade 8,1012,5818,6830,Bilin,MMR011010
 Grade 9,1336,5857,7193,Bilin,MMR011010
 Grade 10,946,4746,5692,Bilin,MMR011010
 Grade 11,1885,5407,7292,Bilin,MMR011010
 College,593,1767,2360,Bilin,MMR011010
 Vocational training,20,81,101,Bilin,MMR011010
 Undergraduate diploma,225,236,461,Bilin,MMR011010
 Graduate,1386,3048,4434,Bilin,MMR011010
 Postgraduate diploma,44,84,128,Bilin,MMR011010
 Master degree,17,27,44,Bilin,MMR011010
 PhD,4,7,11,Bilin,MMR011010
 Other,35,1829,1864,Bilin,MMR011010
 Total,16892,145973,162865,Bilin,MMR011010
