Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1310,-,1310,Botahtaung,MMR013017
 Grade 1,512,-,512,Botahtaung,MMR013017
 Grade 2,652,-,652,Botahtaung,MMR013017
 Grade 3,953,-,953,Botahtaung,MMR013017
 Grade 4,1361,-,1361,Botahtaung,MMR013017
 Grade 5,2884,-,2884,Botahtaung,MMR013017
 Grade 6,1765,-,1765,Botahtaung,MMR013017
 Grade 7,1454,-,1454,Botahtaung,MMR013017
 Grade 8,1922,-,1922,Botahtaung,MMR013017
 Grade 9,2869,-,2869,Botahtaung,MMR013017
 Grade 10,2591,-,2591,Botahtaung,MMR013017
 Grade 11,6630,-,6630,Botahtaung,MMR013017
 College,2882,-,2882,Botahtaung,MMR013017
 Vocational training,129,-,129,Botahtaung,MMR013017
 Undergraduate diploma,422,-,422,Botahtaung,MMR013017
 Graduate,9663,-,9663,Botahtaung,MMR013017
 Postgraduate diploma,389,-,389,Botahtaung,MMR013017
 Master degree,354,-,354,Botahtaung,MMR013017
 PhD,64,-,64,Botahtaung,MMR013017
 Other,146,-,146,Botahtaung,MMR013017
 Total,38952,-,38952,Botahtaung,MMR013017
