Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,15620,-,15620,Chanmyatharzi,MMR010004
 Grade 1,6093,-,6093,Chanmyatharzi,MMR010004
 Grade 2,9614,-,9614,Chanmyatharzi,MMR010004
 Grade 3,13880,-,13880,Chanmyatharzi,MMR010004
 Grade 4,28165,-,28165,Chanmyatharzi,MMR010004
 Grade 5,37584,-,37584,Chanmyatharzi,MMR010004
 Grade 6,16307,-,16307,Chanmyatharzi,MMR010004
 Grade 7,14759,-,14759,Chanmyatharzi,MMR010004
 Grade 8,17045,-,17045,Chanmyatharzi,MMR010004
 Grade 9,17733,-,17733,Chanmyatharzi,MMR010004
 Grade 10,21530,-,21530,Chanmyatharzi,MMR010004
 Grade 11,20026,-,20026,Chanmyatharzi,MMR010004
 College,10547,-,10547,Chanmyatharzi,MMR010004
 Vocational training,482,-,482,Chanmyatharzi,MMR010004
 Undergraduate diploma,1492,-,1492,Chanmyatharzi,MMR010004
 Graduate,28909,-,28909,Chanmyatharzi,MMR010004
 Postgraduate diploma,620,-,620,Chanmyatharzi,MMR010004
 Master degree,973,-,973,Chanmyatharzi,MMR010004
 PhD,160,-,160,Chanmyatharzi,MMR010004
 Other,1339,-,1339,Chanmyatharzi,MMR010004
 Total,262878,-,262878,Chanmyatharzi,MMR010004
