Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1436,7270,8706,Chaung Oo,MMR005015
 Grade 1,398,1820,2218,Chaung Oo,MMR005015
 Grade 2,672,2852,3524,Chaung Oo,MMR005015
 Grade 3,1213,5083,6296,Chaung Oo,MMR005015
 Grade 4,1585,6954,8539,Chaung Oo,MMR005015
 Grade 5,5363,25821,31184,Chaung Oo,MMR005015
 Grade 6,1079,4410,5489,Chaung Oo,MMR005015
 Grade 7,995,3637,4632,Chaung Oo,MMR005015
 Grade 8,1139,3943,5082,Chaung Oo,MMR005015
 Grade 9,1249,3626,4875,Chaung Oo,MMR005015
 Grade 10,967,2878,3845,Chaung Oo,MMR005015
 Grade 11,1601,3110,4711,Chaung Oo,MMR005015
 College,583,1023,1606,Chaung Oo,MMR005015
 Vocational training,40,92,132,Chaung Oo,MMR005015
 Undergraduate diploma,63,158,221,Chaung Oo,MMR005015
 Graduate,1832,2425,4257,Chaung Oo,MMR005015
 Postgraduate diploma,47,80,127,Chaung Oo,MMR005015
 Master degree,36,84,120,Chaung Oo,MMR005015
 PhD,6,4,10,Chaung Oo,MMR005015
 Other,32,2366,2398,Chaung Oo,MMR005015
 Total,20336,77636,97972,Chaung Oo,MMR005015
