Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,22482,-,22482,Dagon Myothit(South),MMR013018
 Grade 1,8375,-,8375,Dagon Myothit(South),MMR013018
 Grade 2,11486,-,11486,Dagon Myothit(South),MMR013018
 Grade 3,17428,-,17428,Dagon Myothit(South),MMR013018
 Grade 4,25600,-,25600,Dagon Myothit(South),MMR013018
 Grade 5,47651,-,47651,Dagon Myothit(South),MMR013018
 Grade 6,26751,-,26751,Dagon Myothit(South),MMR013018
 Grade 7,21066,-,21066,Dagon Myothit(South),MMR013018
 Grade 8,23988,-,23988,Dagon Myothit(South),MMR013018
 Grade 9,29084,-,29084,Dagon Myothit(South),MMR013018
 Grade 10,25291,-,25291,Dagon Myothit(South),MMR013018
 Grade 11,44094,-,44094,Dagon Myothit(South),MMR013018
 College,12067,-,12067,Dagon Myothit(South),MMR013018
 Vocational training,762,-,762,Dagon Myothit(South),MMR013018
 Undergraduate diploma,893,-,893,Dagon Myothit(South),MMR013018
 Graduate,23963,-,23963,Dagon Myothit(South),MMR013018
 Postgraduate diploma,638,-,638,Dagon Myothit(South),MMR013018
 Master degree,375,-,375,Dagon Myothit(South),MMR013018
 PhD,71,-,71,Dagon Myothit(South),MMR013018
 Other,486,-,486,Dagon Myothit(South),MMR013018
 Total,342551,-,342551,Dagon Myothit(South),MMR013018
