Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,666,-,666,Dagon,MMR013043
 Grade 1,279,-,279,Dagon,MMR013043
 Grade 2,382,-,382,Dagon,MMR013043
 Grade 3,558,-,558,Dagon,MMR013043
 Grade 4,921,-,921,Dagon,MMR013043
 Grade 5,1750,-,1750,Dagon,MMR013043
 Grade 6,974,-,974,Dagon,MMR013043
 Grade 7,909,-,909,Dagon,MMR013043
 Grade 8,1242,-,1242,Dagon,MMR013043
 Grade 9,1635,-,1635,Dagon,MMR013043
 Grade 10,2364,-,2364,Dagon,MMR013043
 Grade 11,2645,-,2645,Dagon,MMR013043
 College,1816,-,1816,Dagon,MMR013043
 Vocational training,72,-,72,Dagon,MMR013043
 Undergraduate diploma,425,-,425,Dagon,MMR013043
 Graduate,6416,-,6416,Dagon,MMR013043
 Postgraduate diploma,209,-,209,Dagon,MMR013043
 Master degree,415,-,415,Dagon,MMR013043
 PhD,99,-,99,Dagon,MMR013043
 Other,142,-,142,Dagon,MMR013043
 Total,23919,-,23919,Dagon,MMR013043
