Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4849,-,4849,Dawbon,MMR013014
 Grade 1,2353,-,2353,Dawbon,MMR013014
 Grade 2,3429,-,3429,Dawbon,MMR013014
 Grade 3,4049,-,4049,Dawbon,MMR013014
 Grade 4,8704,-,8704,Dawbon,MMR013014
 Grade 5,6188,-,6188,Dawbon,MMR013014
 Grade 6,3902,-,3902,Dawbon,MMR013014
 Grade 7,4437,-,4437,Dawbon,MMR013014
 Grade 8,6229,-,6229,Dawbon,MMR013014
 Grade 9,5305,-,5305,Dawbon,MMR013014
 Grade 10,9067,-,9067,Dawbon,MMR013014
 Grade 11,1825,-,1825,Dawbon,MMR013014
 College,2593,-,2593,Dawbon,MMR013014
 Vocational training,108,-,108,Dawbon,MMR013014
 Undergraduate diploma,293,-,293,Dawbon,MMR013014
 Graduate,6166,-,6166,Dawbon,MMR013014
 Postgraduate diploma,191,-,191,Dawbon,MMR013014
 Master degree,113,-,113,Dawbon,MMR013014
 PhD,16,-,16,Dawbon,MMR013014
 Other,75,-,75,Dawbon,MMR013014
 Total,69892,-,69892,Dawbon,MMR013014
