Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3777,4355,8132,Dawei,MMR006001
 Grade 1,2066,1845,3911,Dawei,MMR006001
 Grade 2,2756,2604,5360,Dawei,MMR006001
 Grade 3,4123,3406,7529,Dawei,MMR006001
 Grade 4,6223,4682,10905,Dawei,MMR006001
 Grade 5,11730,9736,21466,Dawei,MMR006001
 Grade 6,4998,2791,7789,Dawei,MMR006001
 Grade 7,4210,2144,6354,Dawei,MMR006001
 Grade 8,4539,2161,6700,Dawei,MMR006001
 Grade 9,5389,1892,7281,Dawei,MMR006001
 Grade 10,4402,1317,5719,Dawei,MMR006001
 Grade 11,7732,1725,9457,Dawei,MMR006001
 College,2851,578,3429,Dawei,MMR006001
 Vocational training,168,30,198,Dawei,MMR006001
 Undergraduate diploma,271,80,351,Dawei,MMR006001
 Graduate,8412,1264,9676,Dawei,MMR006001
 Postgraduate diploma,286,72,358,Dawei,MMR006001
 Master degree,211,38,249,Dawei,MMR006001
 PhD,47,7,54,Dawei,MMR006001
 Other,211,283,494,Dawei,MMR006001
 Total,74402,41010,115412,Dawei,MMR006001
