Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1122,24247,25369,Daydaye,MMR017026
 Grade 1,270,5895,6165,Daydaye,MMR017026
 Grade 2,530,7980,8510,Daydaye,MMR017026
 Grade 3,721,12248,12969,Daydaye,MMR017026
 Grade 4,989,17500,18489,Daydaye,MMR017026
 Grade 5,2544,48788,51332,Daydaye,MMR017026
 Grade 6,926,11289,12215,Daydaye,MMR017026
 Grade 7,787,8188,8975,Daydaye,MMR017026
 Grade 8,805,7660,8465,Daydaye,MMR017026
 Grade 9,966,7024,7990,Daydaye,MMR017026
 Grade 10,825,5124,5949,Daydaye,MMR017026
 Grade 11,1803,6299,8102,Daydaye,MMR017026
 College,525,1633,2158,Daydaye,MMR017026
 Vocational training,15,55,70,Daydaye,MMR017026
 Undergraduate diploma,22,186,208,Daydaye,MMR017026
 Graduate,1460,2747,4207,Daydaye,MMR017026
 Postgraduate diploma,16,38,54,Daydaye,MMR017026
 Master degree,3,28,31,Daydaye,MMR017026
 PhD,2,4,6,Daydaye,MMR017026
 Other,50,3028,3078,Daydaye,MMR017026
 Total,14381,169961,184342,Daydaye,MMR017026
