Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,771,9600,10371,Gangaw,MMR009023
 Grade 1,272,2955,3227,Gangaw,MMR009023
 Grade 2,398,4138,4536,Gangaw,MMR009023
 Grade 3,578,7097,7675,Gangaw,MMR009023
 Grade 4,896,10540,11436,Gangaw,MMR009023
 Grade 5,1992,30624,32616,Gangaw,MMR009023
 Grade 6,843,8225,9068,Gangaw,MMR009023
 Grade 7,706,6554,7260,Gangaw,MMR009023
 Grade 8,800,6703,7503,Gangaw,MMR009023
 Grade 9,888,5742,6630,Gangaw,MMR009023
 Grade 10,1449,5968,7417,Gangaw,MMR009023
 Grade 11,1145,4730,5875,Gangaw,MMR009023
 College,522,1954,2476,Gangaw,MMR009023
 Vocational training,34,183,217,Gangaw,MMR009023
 Undergraduate diploma,109,296,405,Gangaw,MMR009023
 Graduate,1476,4027,5503,Gangaw,MMR009023
 Postgraduate diploma,54,78,132,Gangaw,MMR009023
 Master degree,22,67,89,Gangaw,MMR009023
 PhD,1,4,5,Gangaw,MMR009023
 Other,2,65,67,Gangaw,MMR009023
 Total,12958,109550,122508,Gangaw,MMR009023
