Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,769,5364,6133,Gyobingauk,MMR008014
 Grade 1,663,2810,3473,Gyobingauk,MMR008014
 Grade 2,912,4100,5012,Gyobingauk,MMR008014
 Grade 3,1103,5888,6991,Gyobingauk,MMR008014
 Grade 4,3866,24933,28799,Gyobingauk,MMR008014
 Grade 5,1817,17423,19240,Gyobingauk,MMR008014
 Grade 6,1121,4959,6080,Gyobingauk,MMR008014
 Grade 7,1384,4656,6040,Gyobingauk,MMR008014
 Grade 8,1686,4943,6629,Gyobingauk,MMR008014
 Grade 9,1601,3676,5277,Gyobingauk,MMR008014
 Grade 10,2446,4369,6815,Gyobingauk,MMR008014
 Grade 11,795,1172,1967,Gyobingauk,MMR008014
 College,661,823,1484,Gyobingauk,MMR008014
 Vocational training,55,72,127,Gyobingauk,MMR008014
 Undergraduate diploma,147,105,252,Gyobingauk,MMR008014
 Graduate,2322,1906,4228,Gyobingauk,MMR008014
 Postgraduate diploma,56,37,93,Gyobingauk,MMR008014
 Master degree,12,12,24,Gyobingauk,MMR008014
 PhD,9,2,11,Gyobingauk,MMR008014
 Other,73,710,783,Gyobingauk,MMR008014
 Total,21498,87960,109458,Gyobingauk,MMR008014
