Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1086,5947,7033,Hkamti,MMR005033
 Grade 1,302,1278,1580,Hkamti,MMR005033
 Grade 2,372,1449,1821,Hkamti,MMR005033
 Grade 3,511,2077,2588,Hkamti,MMR005033
 Grade 4,659,2846,3505,Hkamti,MMR005033
 Grade 5,1218,5517,6735,Hkamti,MMR005033
 Grade 6,716,2576,3292,Hkamti,MMR005033
 Grade 7,660,1946,2606,Hkamti,MMR005033
 Grade 8,755,2072,2827,Hkamti,MMR005033
 Grade 9,882,2226,3108,Hkamti,MMR005033
 Grade 10,742,1498,2240,Hkamti,MMR005033
 Grade 11,1291,1726,3017,Hkamti,MMR005033
 College,366,373,739,Hkamti,MMR005033
 Vocational training,48,12,60,Hkamti,MMR005033
 Undergraduate diploma,26,62,88,Hkamti,MMR005033
 Graduate,852,470,1322,Hkamti,MMR005033
 Postgraduate diploma,20,8,28,Hkamti,MMR005033
 Master degree,42,10,52,Hkamti,MMR005033
 PhD,2,1,3,Hkamti,MMR005033
 Other,18,153,171,Hkamti,MMR005033
 Total,10568,32247,42815,Hkamti,MMR005033
