Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1870,18449,20319,Hlegu,MMR013004
 Grade 1,808,7641,8449,Hlegu,MMR013004
 Grade 2,1124,10397,11521,Hlegu,MMR013004
 Grade 3,1842,16786,18628,Hlegu,MMR013004
 Grade 4,2742,20719,23461,Hlegu,MMR013004
 Grade 5,4760,41871,46631,Hlegu,MMR013004
 Grade 6,2619,15268,17887,Hlegu,MMR013004
 Grade 7,2168,11224,13392,Hlegu,MMR013004
 Grade 8,2522,11527,14049,Hlegu,MMR013004
 Grade 9,2907,12473,15380,Hlegu,MMR013004
 Grade 10,2228,9781,12009,Hlegu,MMR013004
 Grade 11,5133,15101,20234,Hlegu,MMR013004
 College,1836,4574,6410,Hlegu,MMR013004
 Vocational training,88,279,367,Hlegu,MMR013004
 Undergraduate diploma,114,529,643,Hlegu,MMR013004
 Graduate,4196,7373,11569,Hlegu,MMR013004
 Postgraduate diploma,106,286,392,Hlegu,MMR013004
 Master degree,54,244,298,Hlegu,MMR013004
 PhD,18,23,41,Hlegu,MMR013004
 Other,258,4803,5061,Hlegu,MMR013004
 Total,37393,209348,246741,Hlegu,MMR013004
