Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1447,1626,3073,Hopin(ST),MMR001007
 Grade 1,560,732,1292,Hopin(ST),MMR001007
 Grade 2,776,1002,1778,Hopin(ST),MMR001007
 Grade 3,1126,1409,2535,Hopin(ST),MMR001007
 Grade 4,1616,2630,4246,Hopin(ST),MMR001007
 Grade 5,3220,4979,8199,Hopin(ST),MMR001007
 Grade 6,1641,1976,3617,Hopin(ST),MMR001007
 Grade 7,1386,1730,3116,Hopin(ST),MMR001007
 Grade 8,1566,1785,3351,Hopin(ST),MMR001007
 Grade 9,1705,1514,3219,Hopin(ST),MMR001007
 Grade 10,1515,1366,2881,Hopin(ST),MMR001007
 Grade 11,2177,807,2984,Hopin(ST),MMR001007
 College,789,584,1373,Hopin(ST),MMR001007
 Vocational training,48,15,63,Hopin(ST),MMR001007
 Undergraduate diploma,49,22,71,Hopin(ST),MMR001007
 Graduate,1669,917,2586,Hopin(ST),MMR001007
 Postgraduate diploma,27,20,47,Hopin(ST),MMR001007
 Master degree,45,9,54,Hopin(ST),MMR001007
 PhD,-,1,1,Hopin(ST),MMR001007
 Other,76,78,154,Hopin(ST),MMR001007
 Total,21438,23202,44640,Hopin(ST),MMR001007
