Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4594,71323,75917,Hpa-an,MMR003001
 Grade 1,2120,18484,20604,Hpa-an,MMR003001
 Grade 2,2880,22459,25339,Hpa-an,MMR003001
 Grade 3,3881,29037,32918,Hpa-an,MMR003001
 Grade 4,5028,28042,33070,Hpa-an,MMR003001
 Grade 5,7856,42449,50305,Hpa-an,MMR003001
 Grade 6,4876,20762,25638,Hpa-an,MMR003001
 Grade 7,3784,13891,17675,Hpa-an,MMR003001
 Grade 8,4268,13061,17329,Hpa-an,MMR003001
 Grade 9,4918,13055,17973,Hpa-an,MMR003001
 Grade 10,5093,8229,13322,Hpa-an,MMR003001
 Grade 11,7482,11710,19192,Hpa-an,MMR003001
 College,2717,3547,6264,Hpa-an,MMR003001
 Vocational training,149,233,382,Hpa-an,MMR003001
 Undergraduate diploma,445,563,1008,Hpa-an,MMR003001
 Graduate,7845,5724,13569,Hpa-an,MMR003001
 Postgraduate diploma,292,337,629,Hpa-an,MMR003001
 Master degree,250,149,399,Hpa-an,MMR003001
 PhD,27,30,57,Hpa-an,MMR003001
 Other,320,3095,3415,Hpa-an,MMR003001
 Total,68825,306180,375005,Hpa-an,MMR003001
