Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,963,12619,13582,Htantabin,MMR013006
 Grade 1,361,5465,5826,Htantabin,MMR013006
 Grade 2,450,8531,8981,Htantabin,MMR013006
 Grade 3,535,11386,11921,Htantabin,MMR013006
 Grade 4,1009,22020,23029,Htantabin,MMR013006
 Grade 5,954,21895,22849,Htantabin,MMR013006
 Grade 6,517,7507,8024,Htantabin,MMR013006
 Grade 7,424,6588,7012,Htantabin,MMR013006
 Grade 8,506,6399,6905,Htantabin,MMR013006
 Grade 9,428,5384,5812,Htantabin,MMR013006
 Grade 10,772,6887,7659,Htantabin,MMR013006
 Grade 11,398,1328,1726,Htantabin,MMR013006
 College,265,1529,1794,Htantabin,MMR013006
 Vocational training,10,86,96,Htantabin,MMR013006
 Undergraduate diploma,28,135,163,Htantabin,MMR013006
 Graduate,518,2282,2800,Htantabin,MMR013006
 Postgraduate diploma,27,161,188,Htantabin,MMR013006
 Master degree,8,32,40,Htantabin,MMR013006
 PhD,-,6,6,Htantabin,MMR013006
 Other,38,3663,3701,Htantabin,MMR013006
 Total,8211,123903,132114,Htantabin,MMR013006
