Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,658,11500,12158,Htantapin,MMR007014
 Grade 1,259,4494,4753,Htantapin,MMR007014
 Grade 2,369,6589,6958,Htantapin,MMR007014
 Grade 3,671,9992,10663,Htantapin,MMR007014
 Grade 4,878,12404,13282,Htantapin,MMR007014
 Grade 5,1599,19593,21192,Htantapin,MMR007014
 Grade 6,672,6612,7284,Htantapin,MMR007014
 Grade 7,533,5373,5906,Htantapin,MMR007014
 Grade 8,592,4816,5408,Htantapin,MMR007014
 Grade 9,475,4555,5030,Htantapin,MMR007014
 Grade 10,503,3169,3672,Htantapin,MMR007014
 Grade 11,741,3766,4507,Htantapin,MMR007014
 College,305,942,1247,Htantapin,MMR007014
 Vocational training,8,32,40,Htantapin,MMR007014
 Undergraduate diploma,24,163,187,Htantapin,MMR007014
 Graduate,778,1742,2520,Htantapin,MMR007014
 Postgraduate diploma,7,41,48,Htantapin,MMR007014
 Master degree,7,25,32,Htantapin,MMR007014
 PhD,2,2,4,Htantapin,MMR007014
 Other,4,441,445,Htantapin,MMR007014
 Total,9085,96251,105336,Htantapin,MMR007014
