Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1398,10015,11413,Indaw(ST),MMR014008
 Grade 1,456,1642,2098,Indaw(ST),MMR014008
 Grade 2,624,1866,2490,Indaw(ST),MMR014008
 Grade 3,771,2616,3387,Indaw(ST),MMR014008
 Grade 4,694,2307,3001,Indaw(ST),MMR014008
 Grade 5,1288,4341,5629,Indaw(ST),MMR014008
 Grade 6,370,906,1276,Indaw(ST),MMR014008
 Grade 7,308,647,955,Indaw(ST),MMR014008
 Grade 8,250,564,814,Indaw(ST),MMR014008
 Grade 9,260,473,733,Indaw(ST),MMR014008
 Grade 10,205,414,619,Indaw(ST),MMR014008
 Grade 11,249,225,474,Indaw(ST),MMR014008
 College,107,104,211,Indaw(ST),MMR014008
 Vocational training,2,16,18,Indaw(ST),MMR014008
 Undergraduate diploma,9,11,20,Indaw(ST),MMR014008
 Graduate,148,211,359,Indaw(ST),MMR014008
 Postgraduate diploma,8,10,18,Indaw(ST),MMR014008
 Master degree,9,9,18,Indaw(ST),MMR014008
 PhD,4,-,4,Indaw(ST),MMR014008
 Other,336,163,499,Indaw(ST),MMR014008
 Total,7496,26540,34036,Indaw(ST),MMR014008
